conversation_id,llm_intent,llm_intent_confidence,llm_sentiment,llm_sent_confidence,llm_entity,llm_entity_category,llm_entity_sentiment,llm_entity_sent_confidence
26c5dc109920789f9199ff9b37acb8c1,Creative Writing,0.95,positive,0.9,john waters,possible_brand,positive,0.8
e87a1aeb9aafa35c00da39ddeb1139a0,General Chat,0.8,neutral,0.9,openai,organization,neutral,0.5
c3415a9e401ff379f29fe3ce02e500dc,General Chat,0.9,positive,0.8,Moroccan tram,possible_product,positive,0.9
c3415a9e401ff379f29fe3ce02e500dc,General Chat,0.9,positive,0.8,Rabat,location,positive,0.8
c3415a9e401ff379f29fe3ce02e500dc,General Chat,0.9,positive,0.8,Casablanca,location,positive,0.8
c3415a9e401ff379f29fe3ce02e500dc,General Chat,0.9,positive,0.8,Rabat-Salé tramway system,organization,positive,0.7
c3415a9e401ff379f29fe3ce02e500dc,General Chat,0.9,positive,0.8,trams,software,positive,0.8
ec6578cd9d69130a769ea307b6e7a874,Product Inquiry,0.8,neutral,0.7,constraints,product,neutral,0.5
c9fdedb0e222c9251e5fab2b0784240c,General Chat,0.9,positive,0.8,Morocco,location,positive,0.9
c9fdedb0e222c9251e5fab2b0784240c,General Chat,0.9,positive,0.8,ctm,possible_brand,positive,0.8
c9fdedb0e222c9251e5fab2b0784240c,General Chat,0.9,positive,0.8,supratours,possible_brand,positive,0.8
01e1f36d3f0cf0c4acb8e15bc7f4ed10,Product Inquiry,0.8,neutral,0.7,short term memory,software,neutral,0.5
bf21a7138ef8028bee411c1f271ef94c,Other,0.9,positive,0.8,Emma,person,positive,0.8
bf21a7138ef8028bee411c1f271ef94c,Other,0.9,positive,0.8,Jane,person,positive,0.8
bf21a7138ef8028bee411c1f271ef94c,Other,0.9,positive,0.8,Cecily,person,positive,0.7
bf21a7138ef8028bee411c1f271ef94c,Other,0.9,positive,0.8,caviar co.,organization,neutral,0.5
bf21a7138ef8028bee411c1f271ef94c,Other,0.9,positive,0.8,poached salmon,possible_product,neutral,0.6
bf21a7138ef8028bee411c1f271ef94c,Other,0.9,positive,0.8,steak,possible_product,neutral,0.6
bf21a7138ef8028bee411c1f271ef94c,Other,0.9,positive,0.8,caesar salad,possible_product,neutral,0.6
bf21a7138ef8028bee411c1f271ef94c,Other,0.9,positive,0.8,white shirt,other,neutral,0.5
bf21a7138ef8028bee411c1f271ef94c,Other,0.9,positive,0.8,black pencil skirt,other,neutral,0.5
bf21a7138ef8028bee411c1f271ef94c,Other,0.9,positive,0.8,red dress,other,neutral,0.5
bf21a7138ef8028bee411c1f271ef94c,Other,0.9,positive,0.8,pumps,other,neutral,0.5
a0d800583ab19bb20299af3925f9d6cf,Product Inquiry,0.8,neutral,0.7,constraints,other,neutral,0.5
cc9c65c7200e499761e9b8bf6979f904,Creative Writing,0.9,positive,0.8,chris,person,neutral,0.5
0bdd8d0421b41716c666fc6450302b9e,General Chat,0.8,positive,0.9,Morocco,location,positive,0.9
59592d669b23b75896c7370f1a76fdda,Other,0.9,neutral,0.8,el sabroso,organization,neutral,0.5
59592d669b23b75896c7370f1a76fdda,Other,0.9,neutral,0.8,martina,person,neutral,0.5
59592d669b23b75896c7370f1a76fdda,Other,0.9,neutral,0.8,luciana,person,neutral,0.5
59592d669b23b75896c7370f1a76fdda,Other,0.9,neutral,0.8,magdalena,person,neutral,0.5
59592d669b23b75896c7370f1a76fdda,Other,0.9,neutral,0.8,florencia,person,neutral,0.5
59592d669b23b75896c7370f1a76fdda,Other,0.9,neutral,0.8,enchiladas,possible_product,positive,0.7
59592d669b23b75896c7370f1a76fdda,Other,0.9,neutral,0.8,sopaipillas,possible_product,positive,0.7
59592d669b23b75896c7370f1a76fdda,Other,0.9,neutral,0.8,guacamole,possible_product,positive,0.7
59592d669b23b75896c7370f1a76fdda,Other,0.9,neutral,0.8,chiles rellenos,possible_product,positive,0.7
59592d669b23b75896c7370f1a76fdda,Other,0.9,neutral,0.8,chilaquiles,possible_product,positive,0.7
59592d669b23b75896c7370f1a76fdda,Other,0.9,neutral,0.8,victor,person,neutral,0.5
f72a528e402f0461f09ae895c64d00de,Other,0.8,positive,0.9,morocco,location,positive,0.9
d149690d31daeaf8d00da8be0522be83,Creative Writing,0.95,neutral,0.6,andrew tate,person,positive,0.8
d149690d31daeaf8d00da8be0522be83,Creative Writing,0.95,neutral,0.6,tristan tate,person,positive,0.8
d149690d31daeaf8d00da8be0522be83,Creative Writing,0.95,neutral,0.6,siena italy,location,neutral,0.5
d149690d31daeaf8d00da8be0522be83,Creative Writing,0.95,neutral,0.6,cathedral,organization,neutral,0.5
76cddbd357ce9d6e087c0d51c14ce218,Other,0.9,neutral,0.8,constraints,other,neutral,0.5
7f6c0fedf32e93a2d4475568848d9387,Creative Writing,0.95,neutral,0.8,Luna del amor,location,neutral,0.5
db97fe0d462176b10c3fefea3c8daffc,Other,0.5,neutral,0.5,phonics,software,positive,0.8
c82a3047c7494a9725c716ef85530a71,General Chat,0.8,neutral,0.9,zhege biaozi fengle,possible_product,neutral,0.5
e8fa890f242ecddda1eb6ec24f0d8f75,Other,0.9,positive,0.8,morocco,location,positive,0.9
b6c9e101545621fe21b57cf071ea4fbb,General Chat,0.9,neutral,0.8,grass,other,positive,0.9
f577b18c96d4b4b634767b00d305cbcf,General Chat,0.9,positive,0.9,morocco,location,positive,0.9
0e84913586e00ed2d3be04732884ecd3,Product Inquiry,0.8,neutral,0.7,constraints,other,neutral,0.5
574408820417da162608d8860776bb65,Creative Writing,0.95,positive,0.9,aunt faye,person,positive,0.9
574408820417da162608d8860776bb65,Creative Writing,0.95,positive,0.9,ruby,person,positive,0.9
574408820417da162608d8860776bb65,Creative Writing,0.95,positive,0.9,keisha,person,positive,0.9
574408820417da162608d8860776bb65,Creative Writing,0.95,positive,0.9,black sitcom,organization,neutral,0.5
574408820417da162608d8860776bb65,Creative Writing,0.95,positive,0.9,1990s,location,neutral,0.5
574408820417da162608d8860776bb65,Creative Writing,0.95,positive,0.9,kitchen,location,neutral,0.5
574408820417da162608d8860776bb65,Creative Writing,0.95,positive,0.9,whipped cream,product,positive,0.8
574408820417da162608d8860776bb65,Creative Writing,0.95,positive,0.9,chocolate pudding,product,positive,0.8
574408820417da162608d8860776bb65,Creative Writing,0.95,positive,0.9,pie,product,positive,0.8
574408820417da162608d8860776bb65,Creative Writing,0.95,positive,0.9,mashed potatoes,product,positive,0.8
574408820417da162608d8860776bb65,Creative Writing,0.95,positive,0.9,jello,product,positive,0.8
574408820417da162608d8860776bb65,Creative Writing,0.95,positive,0.9,cake,product,positive,0.8
19c833c0b35989e84560dd9e30b72a95,Other,0.9,neutral,0.8,constraints 1. 4000 word limit for short term memory,other,neutral,0.5
8003c7d8502008c22a41f3d6596a8ce1,General Chat,0.8,positive,0.9,Morocco,location,positive,0.9
bd25d40df389c05875cff8eda739125f,General Chat,0.8,positive,0.9,morocco,location,positive,0.9
7b97ab1cf7178c1f6de91453eee84d70,Creative Writing,0.95,positive,0.9,sharma,organization,positive,0.8
7b97ab1cf7178c1f6de91453eee84d70,Creative Writing,0.95,positive,0.9,aarti,person,positive,0.9
7b97ab1cf7178c1f6de91453eee84d70,Creative Writing,0.95,positive,0.9,seema,person,positive,0.9
7b97ab1cf7178c1f6de91453eee84d70,Creative Writing,0.95,positive,0.9,menaka,person,positive,0.9
7b97ab1cf7178c1f6de91453eee84d70,Creative Writing,0.95,positive,0.9,gulab jamun,possible_product,positive,0.8
7b97ab1cf7178c1f6de91453eee84d70,Creative Writing,0.95,positive,0.9,tikka masala,possible_product,positive,0.8
7b97ab1cf7178c1f6de91453eee84d70,Creative Writing,0.95,positive,0.9,rogan josh,possible_product,positive,0.8
7b97ab1cf7178c1f6de91453eee84d70,Creative Writing,0.95,positive,0.9,dal makhani,possible_product,positive,0.8
7b97ab1cf7178c1f6de91453eee84d70,Creative Writing,0.95,positive,0.9,butter chicken,possible_product,positive,0.8
7b97ab1cf7178c1f6de91453eee84d70,Creative Writing,0.95,positive,0.9,panner masala,possible_product,positive,0.8
7b97ab1cf7178c1f6de91453eee84d70,Creative Writing,0.95,positive,0.9,rasmalai,possible_product,positive,0.8
7b97ab1cf7178c1f6de91453eee84d70,Creative Writing,0.95,positive,0.9,kheer,possible_product,positive,0.8
cbb219e975240b02c0ebe08caa16603a,Other,0.5,neutral,0.5,gynecologists-obstetricians,possible_profession,neutral,0.5
300215ae4bc4dd1df1650b761cd34d80,Product Inquiry,0.8,neutral,0.9,grass,product,positive,0.8
dc357f038688b5b420f9b5dd2a73e2d5,Product Inquiry,0.8,neutral,0.9,constraints,product,neutral,0.5
849293a7b93f18fda1ef518951a7dd30,Creative Writing,0.95,positive,0.9,Lucinda Simmons,person,positive,0.8
849293a7b93f18fda1ef518951a7dd30,Creative Writing,0.95,positive,0.9,Charlene Jones,person,positive,0.8
849293a7b93f18fda1ef518951a7dd30,Creative Writing,0.95,positive,0.9,Simmons family kitchen,location,neutral,0.5
849293a7b93f18fda1ef518951a7dd30,Creative Writing,0.95,positive,0.9,whipped cream,possible_product,positive,0.9
849293a7b93f18fda1ef518951a7dd30,Creative Writing,0.95,positive,0.9,gravy,possible_product,positive,0.9
849293a7b93f18fda1ef518951a7dd30,Creative Writing,0.95,positive,0.9,food fight,other,neutral,0.5
72f2b575ca5e5a8fb1ae187235e5a8c0,Creative Writing,0.9,positive,0.85,morocco,possible_country,positive,0.8
c49eaadbe1ef28a64abc7555a0135342,Creative Writing,0.95,positive,0.9,morocco,location,positive,0.9
a79eb4213cf8f370d6281199124cbb3a,Other,0.6,negative,0.8,john,person,neutral,0.5
a79eb4213cf8f370d6281199124cbb3a,Other,0.6,negative,0.8,woman,person,positive,0.5
a79eb4213cf8f370d6281199124cbb3a,Other,0.6,negative,0.8,neon sign,location,neutral,0.5
bb9722f85f0864ed78056f48e1fbd013,Other,0.9,negative,0.8,mei ling,person,neutral,0.5
c59391e88aa99a2271965a94d13b90cc,Creative Writing,0.9,positive,0.8,morocco,possible_brand,positive,0.9
c59391e88aa99a2271965a94d13b90cc,Creative Writing,0.9,positive,0.8,marrakech,location,positive,0.8
c59391e88aa99a2271965a94d13b90cc,Creative Writing,0.9,positive,0.8,fes,location,positive,0.8
c59391e88aa99a2271965a94d13b90cc,Creative Writing,0.9,positive,0.8,rabat,location,positive,0.8
c59391e88aa99a2271965a94d13b90cc,Creative Writing,0.9,positive,0.8,imilchil,location,positive,0.7
c59391e88aa99a2271965a94d13b90cc,Creative Writing,0.9,positive,0.8,rif mountains,location,positive,0.7
c59391e88aa99a2271965a94d13b90cc,Creative Writing,0.9,positive,0.8,taghazout,location,positive,0.7
c59391e88aa99a2271965a94d13b90cc,Creative Writing,0.9,positive,0.8,tamraght,location,positive,0.7
c59391e88aa99a2271965a94d13b90cc,Creative Writing,0.9,positive,0.8,imsouane,location,positive,0.7
fccc18a3fb9117bcaf0836ad555735b2,Creative Writing,0.95,positive,0.8,caerwyn,person,neutral,0.5
fccc18a3fb9117bcaf0836ad555735b2,Creative Writing,0.95,positive,0.8,silverwood forest,location,neutral,0.5
fccc18a3fb9117bcaf0836ad555735b2,Creative Writing,0.95,positive,0.8,gnolls,possible_creature,negative,0.8
fccc18a3fb9117bcaf0836ad555735b2,Creative Writing,0.95,positive,0.8,llaedrya,location,positive,0.6
fccc18a3fb9117bcaf0836ad555735b2,Creative Writing,0.95,positive,0.8,eryn,person,positive,0.7
ad182f5728ed328e64b818a87b118c20,General Chat,0.9,positive,0.85,Morocco,location,positive,0.9
3155c029401c279a2183706e64536aa0,Product Inquiry,0.8,neutral,0.9,openai's gpt-3,possible_product,neutral,0.5
8ef170b0972d97286411c30e6b3ce7af,Product Inquiry,0.9,neutral,0.8,.ckpt,possible_product,neutral,0.5
350ed59a5a7f906fc03dd84e75ca226e,Other,0.9,neutral,0.8,constraints,other,neutral,0.5
47ee659ffff65a2cc7f42ea2a7626806,Product Inquiry,0.9,neutral,0.8,.ckpt file,possible_product,neutral,0.5
3d131458e0723b91555df01c607f39ee,General Chat,0.9,positive,0.8,morocco,location,positive,0.9
cbe3d89de697c85b2f92b43cf98c652e,Other,0.5,neutral,0.5,constraints 1. 4000 word limit for short term memory,other,neutral,0.5
2682d8a7d1f7b33674d833f0fb3d9077,Product Inquiry,0.8,positive,0.9,morocco,location,positive,0.9
8a25422331c413d65940a906a32af6ee,Other,0.5,neutral,0.5,gynecologists-obstetricians,possible_brand,neutral,0.5
8a25422331c413d65940a906a32af6ee,Other,0.5,neutral,0.5,Flanders,location,neutral,0.5
8a25422331c413d65940a906a32af6ee,Other,0.5,neutral,0.5,cesarean section,possible_product,neutral,0.5
b496a04da850de3d7a151638a2ba555a,General Chat,0.8,neutral,0.9,kurzgesagt,organization,positive,0.8
916c554dcdfeee80c790d0a2a486aff3,Creative Writing,0.9,positive,0.8,dinosaurs,other,positive,0.9
6b354b56aeac969276b6806e3b5f997d,Product Inquiry,0.6,positive,0.8,morocco,location,neutral,0.5
db1a82f23602cbd8365a10655f733bb4,Other,0.9,negative,0.8,mother,person,neutral,0.5
d5553145cc9808e4d1937ea68fd63565,Other,0.5,positive,0.9,morocco,location,positive,0.9
dfaec3d6e89dca13d7396e356cbb006c,Creative Writing,0.95,positive,0.9,someone,person,positive,0.8
861369ccf632f859b3aee61d0ad7216d,Product Inquiry,0.8,neutral,0.9,lewis structures,other,neutral,0.5
139ed414ac18c26700f3b3f26d400379,Educational Content,0.9,neutral,0.8,lewis structures,other,neutral,0.5
6e5760fc4aa35125dc2197d310aa2e90,Creative Writing,0.9,neutral,0.8,scarlett o'hara,person,positive,0.7
2251eb3a9ddea5f01e27d756ca657413,General Chat,0.9,positive,0.8,morocco,location,positive,0.9
f609014129bb4b60fbe5df2b741202dc,Other,0.5,positive,0.7,bella,person,positive,0.8
f609014129bb4b60fbe5df2b741202dc,Other,0.5,positive,0.7,tommy,person,neutral,0.5
f609014129bb4b60fbe5df2b741202dc,Other,0.5,positive,0.7,eric,person,neutral,0.5
